hot_diggity_d,"['drugs', 'alcohol', 'seen', 'effect', 'honestly', 'hand', 'first', 'would', 'ive', 'depression']"
karen12steps,"['begun', 'december', '1st', 'memories', 'zero', 'officially', 'christmas', 'entire', 'month', 'hate', 'good', 'depression']"
dan_boy23,"['yearseverything', 'regattdealing', 'itdru', 'suffered', 'said', 'last', 'anxiety', 'depression']"
vanellyyyy,"['laxative', 'youngbeautifu', '57', 'coworker', 'brought', 'somehow', 'shes', 'seen', 'done', 'said', 'addiction', 'thought', 'youre', 'got', 'amp', 'like', 'depression']"
CharismaKain,"['reciprocal', 'fades', 'catching', 'motivate', '11', 'relationship', 'important', 'enough', 'bitch', 'yall', '10', 'made', 'since', 'shit', 'fuck', 'cant', 'stress', 'way', 'ive', 'depression']"
glittercleric,"['postdming', 'gucke', 'gerade', 'assitv', 'fühle', 'gehirnzellen', 'absterben', 'kein', 'hirn', 'keine', 'meine', 'aber', 'players', 'kicking', 'tonight', 'boy', 'alle', 'eh', 'hey', 'happy', 'oh', 'fun', 'ass', 'really', 'wo', 'da', 'depression']"
MichelleMackie_,"['happiness', 'buy', 'definitely', 'money', 'would', 'care', 'may', 'take', 'make', 'stress']"
FizzySav,"['bragging', 'everybody', 'sooo', 'wanna', 'sis', 'something', 'like', 'ab', 'depression']"
DionneCocozza,"['dionne', 'along', 'raise', 'amazing', 'chronic', 'awareness', 'pain', 'also', 'therapy', 'work', 'im']"
glorbis,"['flakey', 'withdrawn', 'djig', 'marias', 'outrageously', 'flier', 'entails', 'absofuckingl', 'solves', 'movement', 'communication', 'cave', 'communicate', 'anywhere', 'selfish', 'skills', 'creative', 'unfortunately', 'functioning', 'barely', 'kept', 'debilitating', 'coming', 'works', 'ability', 'okay', 'near', 'everything', 'far', 'weeks', 'tonight', 'therapist', 'finally', 'lost', 'thinking', 'told', 'bec', 'making', 'two', 'makes', 'sure', 'doesnt', 'care', 'getting', 'hate', 'self', 'last', 'star', 'someone', 'come']"
RusellWest,"['morons', 'nicest', 'western', 'london', 'honey', '56', 'relieve', 'upon', 'girls', 'happines', 'awful', 'find', 'beautiful', 'winter', 'easy', 'looking', 'doesnt', 'effect', 'manage', 'job', 'world', 'sometimes', 'hope', 'youre', 'always', 'come', 'stress', 'know', 'even', 'suicide', 'people', 'dont', 'thing', 'us', 'ne', 'depression']"
olliemitch12,"['devastating', 'deaths', 'women', 'stupid', 'completely', 'news', 'wrong', 'ending', 'problems', 'mate', 'hear', 'different', 'stat', 'thinking', 'maybe', 'stigma', 'suicide', 'tweet', 'sorry', 'could', 'sad', 'thats', 'always', 'got', 'think', 'men', 'get', 'depression']"
debtidal,"['dips', 'clicks', 'forget', 'chronic', 'lol', 'sometimes', 'like', 'im', 'depression']"
Nintend0babe,"['harming', 'inconvenience', 'embarrassed', 'youve', 'parents', 'tell', 'seem', 'bitch', 'listen', 'already', 'doesnt', 'yes', 'self', 'thought', 'people', 'fuck', 'even', 'love', 'dont', 'like', 'depressed', 'go', 'im', 'depression']"
ladyofthespear,"['soother', 'spray', 'bidet', 'commence', 'toilet', 'depressionanxiety', 'japan', 'button', 'explaining', 'deeper', 'guilty', 'sweet', 'bullshit', 'likely', 'several', 'reach', 'christ', 'level', 'therapist', 'realize', 'commit', 'deep', 'went', 'yeah', 'oh', 'sleep', 'trauma', 'times', 'post', 'back', 'let', 'going', 'amp', 'want', 'suicide', 'men', 'know', 'get', 'im', 'depression']"
splashinthecut,"['outlets', 'outlet', 'lt3', 'onto', 'blood', 'music', 'dance', 'knowing', 'abilit', 'crazy', 'true', 'goes', 'aint', 'glad', 'family', 'put', 'sometimes', 'would', 'people', 'til', 'even', 'dont', 'really', 'stress', 'art', 'one', 'wa', 'go', 'im', 'depression']"
leandraaaseee,"['toll', 'tells', 'calm', 'understand', 'attack', 'someone', 'think', 'people', 'get', 'dont', 'like', 'ever', 'anxiety']"
mcdaegu,"['motherfuckers', 'wkksjsksjajke', 'growling', 'goodnight', 'hundreds', 'gasped', 'panicked', 'yoongi', 'performances', 'iconic', 'grandma', 'jimins', 'camera', 'sexy', 'stanned', 'mamamoo', 'dollars', 'lunch', 'spend', 'albums', 'expecting', 'wings', 'winning', 'bias', 'laughing', 'bts', 'falling', 'asleep', 'waking', 'account', 'happens', 'videos', 'buy', 'period', 'performance', 'fucking', 'gave', '100', 'saw', 'perform', 'hair', 'gone', 'suffered', 'money', 'mom', 'keep', 'theyre', 'hope', 'guess', 'watching']"
atzfuckas,"['2pm', 'currently', 'yet', 'bed', 'love', 'get', 'depression']"
erinb2369,"['imbalances', 'chemical', 'believe', 'us', 'depression']"
TheBlueAngel87,"['sympathy', 'slave', 'played', 'white', 'rather', 'seek', 'starting', 'black', 'dealing', 'person', 'therapy', 'really', 'think', 'people', 'im', 'depression']"
maevesdunne,"['gently', 'sink', 'carry', 'worried', 'itll', 'gonna', 'song', 'morning', 'next', 'rememb', 'months', 'two', 'bc', 'bad', 'let', 'really', 'ill', 'im', 'depression']"
Fallen_ZeroHour,"['keem', 'imbalance', 'chemical', 'rid', 'something', 'get', 'depression']"
FaintlyMcAbre,"['demanded', 'recognize', 'daughter', 'didnt', 'help', 'get', 'anxiety', 'depression']"
pura_pinolera,"['bathbomb', 'cuddles', 'seconds', 'already', 'used', 'better', 'still', 'much', 'ive', 'anxiety', 'depression']"
SaintsAddiction,"['geico', 'constructive', 'dinamo', 'saints', 'approves', 'coolbut', 'awaken', 'weed', 'marijuana', 'strain', 'switching', 'grace', 'fda', 'mushrooms', 'layers', 'design', 'released', 'smoking', 'represent', 'treating', '100', 'magic', 'proper', 'passion', 'ride', 'saved', 'relationships', 'begin', 'rage', 'starting', 'etc', 'shed', 'crazy', 'save', 'calm', 'addiction', 'fear', 'effect', 'helps', 'finally', 'ptsd', 'sex', 'experience', 'turn', 'yeah', 'everything', 'good', 'first', 'doesnt', 'make']"
impenbot,"['everyday', 'kill', 'wanna', 'severe', 'depression']"
projectanonymus,"['prettt', 'example', 'public', 'huge', 'hello', 'name', 'chris', 'prevent', 'clinical', 'social', 'used', 'friends', 'part', 'still', 'bad', 'going', 'life', 'anxiety', 'depression']"
kidclifford,"['postmaxinne', 'pictures', 'looking', 'miss', 'depression']"
anaeun_,"['anyways', 'done', 'shit', 'got', 'fuck', 'anxiety', 'depression']"
doggywoggydooda,"['committing', 'mail', 'daily', 'move', 'good', 'suicide']"
Robom009,"['wierd', 'traiti', 'pinnacle', 'euphoria', 'pits', 'go', 'depression']"
MarkSaint702,"['geico', 'constructive', 'dinamo', 'saints', 'approves', 'smoke', 'coolbut', 'awaken', 'weed', 'marijuana', 'strain', 'loads', 'switching', 'grace', 'fda', 'mushrooms', 'layers', 'design', 'released', 'smoking', 'represent', 'treating', '100', 'magic', 'proper', 'passion', 'ride', 'helps', 'saved', 'relationships', 'sooo', 'begin', 'rage', 'starting', 'etc', 'either', 'shed', 'crazy', 'save', 'calm', 'addiction', 'fear', 'effect', 'finally', 'sex', 'experience', 'turn', 'yeah', 'everything', 'good']"
PBnJ4YY,"['gnome', 'keem', 'basically', 'crazy', 'saying', 'lol', 'fuckin', 'love', 'depression']"
PankhurstLeigh,"['fisa', 'grotesque', 'engendered', 'conquered', 'stain', 'rights', 'largely', 'random', 'human', 'power', 'seem', 'abuse', 'get', 'anxiety', 'depression']"
ovotiann,"['ridiculous', 'anymore', 'nap', 'uni', 'getting', 'even', 'time', 'dont', 'depression']"
paigegreene07,"['fighters', 'november', 'concert', 'foo', 'last', 'bc', 'post', 'still', 'year', 'think', 'depression']"
PsychoSteve13,"['quavo', 'gucci', 'audio', 'mane', 'feat', 'official', 'second', 'via', 'bipolar', 'goin', 'mi']"
hannabalxx,"['supposed', 'soon', 'treatment', 'medication', 'theres', 'coming', 'fact', 'cry', 'new', 'ever', 'depression']"
ChloeRhodes18,"['helping', 'pass', 'done', 'everything', 'come', 'thank', 'ar', 'depression']"
RRowanOlive,"['parallel', 'traits', 'dx', 'difficulties', 'comparison', 'provisional', 'diagnost', 'bpd', 'personality', 'sake', 'similar', 'referred', 'diagnosis', 'survey', 'poll', 'stands', 'connection', 'results', 'experiences', 'borderline', 'team', 'based', 'related', 'given', 'asking', 'term', 'energy', 'run', 'twitter', 'pd', 'thanks', 'disorder', 'bipolar', 'used', 'since', 'yes', 'eg', 'going', 'amp', 'really', 'think', 'ever', 'dont', 'one', 'hi', 'ho', 'im', 'th', 'depression']"
ouranemily,"['masturbated', 'moose', 'forth', 'lighthearted', 'banned', 'roses', 'jerk', 'venture', 'possibly', 'guns', 'realizing', 'evil', 'goals', 'improve', 'within', 'kicked', 'inside', 'playing', 'avoid', 'brother', 'spend', 'christmas', 'three', 'lab', 'drug', 'rough', 'tonight', 'getting', 'twitter', 'hours', 'two', 'cry', 'trying', 'therapy', 'abuse', 'try', 'today', 'day', 'like', 'eat', 'depression']"
sarabUK,"['bastard', 'central', 'wednesday', 'debilitating', 'interview', 'hun', 'hug', 'job', 'helps', 'tomorrow', 'lol', 'thanks', 'anxiety']"
ItnaSarah,"['shaadi', 'countries', 'fallen', 'expert', 'lucky', 'moving', 'spoke', 'speak', 'comes', 'honestly', 'emotional', 'heart', 'lol', 'cry', 'anyone', 'post', 'always', 'come', 'let', 'good', 'even', 'think', 'peopl', 'dont', 'one', 'ge', 'im', 'depression']"
SophiaLikes2Run,"['occurrence', 'ambitious', 'vocal', 'rare', 'barely', 'excited', 'wild', 'shower', 'powerful', 'half', 'women', 'energy', 'whole', 'ago', 'struggle', 'month', 'bc', 'wr', 'better', 'getting', 'give', 'days', 'lot', 'though', 'ass', 'even', 'help', 'ted', 'eat', 'im', 'depression']"
eilatan,"['dairy', 'grandma', 'farm', 'grew', 'depression']"
maestro_chief_,"['fridge', 'milk', 'ticket', 'credit', 'sold', 'card', 'folks', 'white', 'causes', 'heart', 'event', 'break', 'depression', 'de']"
kbv1n,"['granddaddy', 'madam', 'thotties', 'yalls', 'grandparents', 'funerals', 'shits', 'niggas', 'prepared', 'catch', 'wtf', 'trust', 'listen', '18', 'mad', 'mean', 'depression']"
Soffx4,"['wikihow', 'arguments', 'eggs', 'bodys', 'somebody', 'everybody', 'commit', 'handle', 'dying', 'buy', 'gets', 'anymore', 'without', 'kill', 'put', 'suicide', 'away', 'actually', 'cant', 'sad', 'even', 'every', 'yo', 'depressed', 'im', 'go', 'depression', 'depress']"
opsitsmybabe,"['showed', 'taught', 'knows', 'better', 'person', 'always', 'lot', 'feel', 'make', 'love', 'depression']"
ValliAtTheDisco,"['slit', 'aswell', 'glorify', 'arms', 'scary', 'says', 'hes', 'person', 'also', 'suicide', 'really', 'depression']"
AlanPender,"['pipe', 'entitled', 'beer', 'coke', 'binge', 'paul', 'quiet', 'kept', 'knew', 'far', 'suffered', 'agree', 'oh', 'lost', 'youre', 'person', 'may', 'lot', 'never', 'say', 'every', 'depressed', 'op', 'id', 'go', 'depression']"
atziryprz,"['hmu', 'gets', 'free', 'suicidal', 'worse', 'thoughts', 'everythin', 'year', 'feel', 'time', 'depression']"
sandrapearsall,"['releaseamp', 'thousands', 'yearly', 'supplements', 'release', 'workplace', 'childhood', 'forgive', 'patients', 'kills', 'topic', 'crisis', 'great', 'public', 'article', 'causes', 'rise', 'definitely', 'wrong', 'hurt', 'working', 'kids', 'meds', 'wow', 'agr', 'idea', 'found', 'done', 'past', 'pain', 'awar', 'illness', 'amp', 'stop', 'ptsd', 'many', 'trauma', 'trau', 'pts', 'suffer', 'stress', 'health', 'abuse', 'try', 'work', 'love', 'mental', 'help', 'tho', 'anxiety']"
lgbtodroki,"['bakugou', 'kaminari', 'kaminaris', 'throwback', 'warnings', 'implied', 'mention', 'private', 'november', 'fyi', 'december', 'account', 'related', 'death', 'hug', 'trigger', 'stuff', 'nut', 'wanna', 'ready', 'gonna', 'tw', 'night', 'give', 'suicide', 'au', 'ill', 'get', 'depression']"
mariah_marzocco,"['10x', 'fkn', 'disney', 'cheer', 'land', 'shes', 'anymore', 'without', 'lol', 'thanks', 'makes', 'happy', 'friends', 'something', 'cat', 'lot', 'would', 'ass', 'need', 'depressed', 'thing', 'go', 'depression']"
PHOENiXNOTCITY,"['cuffed', 'club', 'bank', 'welcome', 'benefits', 'boyfriend', 'account', 'nap', 'woke', 'constant', 'least', 'probably', 'started', '10', 'hey', 'gonna', 'tell', 'thats', 'year', 'end', 'us', 'im', 'depression']"
klarissajh,"['dermatologists', 'clearing', 'shook', 'rising', 'concert', 'skin', 'yet', 'post', 'think', 'stress', 'depression']"
maximaxoo,"['beginning', 'enter', 'news', 'damn', 'really', 'depression']"
Ivo_Mcbuckets,"['villainous', 'sensed', 'cheesing', 'walmart', 'grandmother', 'patients', 'busy', 'notice', 'takes', 'state', 'gone', 'happy', 'aint', 'almost', 'guess', 'power', 'lose', 'done', 'school', 'feeling', 'lot', 'back', 'even', 'go', 'im', 'depression']"
_amzdes,"['aaaaand', 'older', 'birthday', 'accept', 'comes', 'almost', 'year', 'im', 'depression']"
TinyDeRon,"['910', 'frfr', 'leadger', 'categories', 'beneficial', 'finna', 'joker', 'heath', 'curable', 'squad', 'folks', 'youll', 'yeah', 'type', 'fine', 'crazy', 'different', 'battl', 'nothing', 'put', 'two', 'said', 'illness', 'didnt', 'never', 'say', 'got', 'therapy', 'ok', 'mental', 'suicide', 'real', 'like', 'feel', 'depressed', 'go', 'depression', 'dep']"
jennabot,"['godawful', 'vitamins', 'deficiency', 'comedy', 'breakdown', 'weekend', 'listening', 'small', 'close', 'vit', 'dealing', 'wow', 'trauma', 'top', 'always', 'take', 'love', 'bu', 'ill', 'like', 'im', 'depression']"
AgOverAu,"['tunes', 'youve', 'helped', 'past', 'thanks', 'years', 'year', 'depression']"
chanretro,"['marching', 'dps', 'cute', 'took', 'another', 'kid', 'break', 'fucking', 'back', 'come', 'bts', 'depression']"
TheSteeleGaming,"['imbalances', 'chemical', 'relate', 'pretty', 'head', 'sure', 'many', 'dont', 'im', 'depression']"
texasjackhammer,"['palms', 'shrinkage', 'magic', '1st', 'exercise', 'anyway', 'due', 'lack', 'honest', 'vid', 'gonna', 'shit', 'right', 'thats', 'bts', 'read', 'got', 'amp', 'depression']"
OverMama1,"['pw', 'unable', 'cost', 'selfcare', 'mentalhealthmatters', 'reading', 'wanted', 'money', 'guys', 'word', 'early', 'came', 'taking', 'started', 'little', 'everyone', 'sorry', 'best', 'please', 'attack', 'youre', 'thank', 'health', 'work', 'make', 'mental', 'end', 'get', 'day', 'anxiety', 'rt', 'ca', 'ou', 'im', 'depression']"
OnQueerStreet,"['fuckmyperiod', 'loathing', 'blaming', 'hormones', 'happening', 'mostly', 'period', 'write', 'bring', 'therapist', 'remember', 'self', 'today', 'therapy', 'need', 'ok', 'im', 'depression']"
FallAway_,"['supported', 'aga', 'possible', 'attempt', 'fight', 'ways', 'suicide', 'anxiety', 'depression']"
LucidMaverick,"['striving', 'grown', 'goal', 'meet', 'keep', 'day', 'one', 'anxiety', 'depression']"
stallnham,"['fiona', 'curled', 'mamas', 'watches', 'nephew', 'uncle', 'weather', 'yrs', 'lap', 'pill', 'happiness', 'deserve', 'reach', 'taken', 'easy', 'lost', 'hand', 'ago', 'two', 'severe', 'happy', 'doesnt', 'keep', 'youre', 'suffer', 'come', 'also', 'going', 'suicide', 'ye', 'anxiety', 'depression']"
Lowecat,"['dear', 'battling', 'ptsd', 'years', 'friend', 'time', 'day', 'one', 'depression']"
BaileyMantooth,"['peaked', 'depression']"
rawrwithsound,"['questions', 'pills', 'disorders', 'panic', 'friends', 'take', 'depression']"
Tiffany_Arnett,"['hostage', 'tiffany', 'hides', 'regretting', 'reminders', 'traumas', 'forces', 'motto', 'wanting', 'pulling', 'goodbye', 'terrifying', 'burden', 'drawing', 'posted', 'overwhelming', 'myse', 'skill', 'thanksgiving', 'eyes', 'incredibly', 'door', 'tears', 'shout', 'front', 'mark', 'stuck', 'keeps', 'coping', 'blog', 'brother', 'died', 'draw', 'along', 'smile', 'weve', 'loved', 'daily', 'cope', 'become', 'shed', 'positive', 'exactly', 'used', 'run', 'crying', 'lately', 'since', 'face', 'stay']"
hoseoks_twt,"['violin', 'sureeee', 'sjdnnd', 'praising', 'underneath', 'euphoria', 'oomf', 'everywhere', 'dna', '방탄소년단', 'muslim', 'liking', 'liam', 'drowning', 'onto', 'theyve', 'covering', 'tweets', 'speech', 'aunt', 'urself', 'bts', 'version', 'thinks', 'award', 'course', 'stage', 'words', 'via', 'wanted', 'called', 'energy', 'doctor', 'bring', 'theyre', 'sat', 'music', 'mic', 'cover', 'another', 'anti', 'win', 'told', 'god', 'full', 'world', 'said', 'fucking', 'always', 'back']"
TheAshenLuca,"['scum', 'manipulative', 'critical', 'defend', 'allowed', 'dealt', 'brother', 'behav', 'uh', 'black', 'taking', 'theres', 'issues', 'suicidal', 'thoughts', 'yall', 'stigma', 'unders', 'better', 'care', 'cause', 'call', 'health', 'make', 'want', 'mental', 'people', 'know', 'use', 'men', 'im', 'depression']"
RogerBlazic,"['consumers', 'mentalhealthmatters', 'sobriety', 'aré', 'brlliant', 'nailed', 'hva', 'legoland', 'entertain', 'passengers', 'lotsof', 'ecactly', 'wjat', 'aidens', 'reversal', 'purported', 'saidwho', 'deeliza', 'histories', 'clothes', 'scars', 'destroying', 'dopesick', 'triple', 'stopsuicide', 'sales', 'qualify', 'requires', 'selfloathing', 'yelling', 'thousands', 'painless', 'gary', 'mentalhealth', 'yrs', 'neil', 'lego', 'repost', 'alzheimers', 'recovery', 'lived', 'marijuana', 'creates', 'wisdom', 'california', 'hashtag', 'decades', 'hence', 'kate', 'garbage']"
AliaJoyH,"['fairly', 'radio', 'silent', 'usually', 'often', 'talking', 'might', 'also', 'go', 'depression']"
shaereezi,"['grateful', 'girls', 'alone', 'something', 'help', 'get', 'im', 'depression']"
ChrisTS__,"['postcourteeners', 'depression']"
joasker,"['sane', 'gym', 'keeping', 'minutes', 'main', 'peak', 'moment', 'mentalhealth', 'look', 'thing']"
moonzumi,"['candy', 'dick', 'jokes', 'ready', 'sad', 'good', 'cant', 'depression']"
DreamersMin,"['shipped', 'gfriend', 'disresp', 'twice', 'girls', 'sis', 'rv', 'bts', 'make', 'like']"
AIyazyak,"['weekmy', 'shaking', 'studying', 'amount', 'next', 'depression']"
st_booty,"['apathy', 'lethargy', 'hurts', 'unfair', 'mono', 'sexy', 'fatigue', 'smart', 'upset', 'cute', 'gotta', 'body', 'kind', 'doesnt', 'love', 'fun', 'person', 'still', 'know', 'amp', 'want', 'dont', 'anxiety', 'im', 'depression']"
meIissabaca,"['claims', 'pulling', 'hopele', 'semester', 'card', 'quir', 'drugs', 'psychology', 'along', 'cute', 'women', 'drug', 'next', 'taking', 'sick', 'serious', 'tired', 'everything', 'everyone', 'something', 'sad', 'days', 'also', 'abuse', 'people', 'feel', 'like', 'anxiety', 'im', 'depression']"
SaturnineSnail,"['realizationi', 'clothes', 'apparently', 'buy', 'pushing', 'sports', 'perhaps', 'shopping', 'mentioned', 'earlier', 'likely', 'appointment', 'realized', 'crazy', 'guys', 'doctor', 'taking', 'book', 'first', 'keep', 'sad', 'therapy', 'need', 'stress', 'get', 'like', 'depression']"
hoodedgardener,"['humans', 'cox', 'writers', 'characters', 'naturally', 'write', 'general', 'sadness', 'wellbeing', 'comes', 'tend', 'different', 'wait', 'went', 'maybe', 'wish', 'care', 'thats', 'dr', 'really', 'know', 'depression', 'depress']"
InfiniteWisdumb,"['322m', 'americans', 'worldwide', 'author', '18', 'alone', 'sure', 'people', 'anxiety', 'depression']"
TheScorwin,"['insufferably', 'humming', 'resume', 'fixed', 'cheery', 'interactions', 'busy', 'normal', 'bc', 'person', 'cant', 'time', 'im', 'depression']"
ladybathory_,"['idgaf', 'promiscuous', 'youd', 'cheating', 'bpd', 'doubting', 'excuse', 'identity', 'style', 'chea', 'nope', 'struggles', 'sense', 'small', 'explain', 'affect', 'symptoms', 'honestly', 'found', 'family', 'understand', 'understan', 'thanks', 'big', 'sorry', 'said', 'better', 'many', 'look', 'things', 'always', 'take', 'try', 'read', 'say', 'cant', 'want', 'year', 'really', 'think', 'people', 'time', 'dont', 'ever', 'ive', 'one', 'im', 'depression']"
pippirose77,"['panicky', 'disoriented', 'kindergarten', 'dusk', 'creativewise', 'roof', 'midnight', 'lowest', 'fog', 'nightmares', 'migraine', 'goes', 'turns', 'pressure', 'blood', 'shak', 'wish', 'best', 'wake', 'control', 'attacks', 'wont', 'brain', 'used', 'could', 'able', 'still', 'going', 'cant', 'love', 'get', 'anxiety', 'time', 'like', 'im']"
_kaidakota,"['1930s', '1899', 'reported', 'stated', 'pointed', 'great', 'fyi', 'jokes', 'nah', 'happened', 'literally', 'haha', 'called', 'said', 'sim', 'guy', 'little', 'lol', 'school', 'better', 'back', 'hap', 'though', 'fuck', 'get', 'go', 'depression']"
cazziesreist,"['crocs', 'alot', 'uh', 'yet', 'okay', 'yes', 'sleep', 'stress', 'im', 'depression']"
directium,"['grimm', 'covered', 'yall', 'actually', 'give', 'well', 'want', 'like', 'depression']"
groningen_e,"['sad', 'right', 'bts', 'stan', 'depression']"
veelighted7,"['spoonies', 'christmas2018', 'cfs', 'cps', 'chronicpain', 'chronicillness', 'fibromyalgia', 'fatigue', 'okay', 'support', 'rest', 'understand', 'try', 'hea', 'depression']"
kukk_ONE,"['shocks', 'electric', 'treatment', 'used', 'think', 'depression']"
MentalIllPolicy,"['nyc', 'preventing', 'premise', 'respectfully', 'bdb', 'refusing', 'tennessees', 'celebrates', 'populations', 'fuller', 'torrey', 'preorder', 'unquestioned', 'stephen', 'eide', 'hospitalizations', 'holds', 'beds', 'reported', 'edition', 'options', 'substance', 'wrote', 'york', '7th', 'separate', 'desperately', 'treatments', 'relatively', 'surviving', 'junk', 'schizophrenia', 'nami', 'tiny', 'resources', 'attempts', 'rare', 'available', 'ideas', 'science', 'blame', 'system', 'based', 'advice', 'scream', 'diagnosis', 'except', 'reduce', 'certain', 'research']"
nkz440,"['shows', 'episode', 'bring', 'actually', 'hav', 'ppl', 'talk', 'today', 'need', 'love', 'depression']"
skythekeeper,"['fks', 'continuing', 'bottle', 'running', 'cancer', 'positive', 'problem', 'anyone', 'shit', 'thats', 'give', 'hard', 'talk', 'cant', 'life', 'really', 'one', 'depression']"
suicidalbitchk,"['lingers', 'swallowing', 'delightful', 'sweating', 'thankyou', 'bullied', 'tree', 'beginning', 'attempted', 'bullying', 'summer', 'sort', 'worry', 'pop', 'seen', 'energy', 'stuff', 'girl', 'worse', 'rest', 'school', 'sch', 'thats', 'post', 'old', 'stress', 'take', 'though', 'still', 'suicide', 'year', 'ok', 'im', 'depression']"
perpecks,"['momin', 'walked', 'conclusion', 'honey', 'poster', 'nights', 'thinks', 'lonely', 'losing', 'alone', 'three', 'shes', 'house', 'room', 'attacks', 'leave', 'taking', 'havent', 'months', 'home', 'full', 'child', 'mom', 'care', 'sleep', 'part', 'tell', 'come', 'cant', 'depressed', 'ive', 'anxiety', 'go', 'im', 'depress']"
mountainfairyxo,"['lowwwww', 'cuz', 'couple', 'weeks', 'crying', 'past', 'reason', 'hor', 'seasonal', 'may', 'feeling', 'think', 'depression']"
2neft6,"['prerecorded', 'thatmakes', 'anymorebut', 'underfire', 'timewe', 'fancams', '20min', 'breathed', 'haters', 'attacking', 'idols', 'reacting', 'persons', 'groups', 'idol', 'performance', 'hits', 'imagine', 'army', 'bts', 'question', 'agree', 'least', 'fan', 'attacks', 'whole', 'worse', 'already', 'reason', 'arent', 'mean', 'could', 'shit', 'also', 'even', 'think', 'yea', 'dont']"
Hitoshi33093198,"['buti', 'feels', 'tho', 'think', 'feel', 'know', 'dont', 'depression']"
RyanAinEflat,"['bipolarclinical', 'tao', 'canto', 'flooded', 'autism', 'straight', '13', 'ages', 'clinical', 'hell', 'brain', 'phy', 'ching', 'made', 'sure', 'many', 'things', 'say', 'much', 'cant', 'help', 'think', 'people', 'get', 'like', 'im', 'te', 'depression']"
Bella_Luna245,"['rosanne', 'chose', 'taste', 'songs', 'glad', 'kids', 'home', 'play', 'good', 'depression']"
Trinimmortal,"['genlock', 'komisan', 'grim', 'shy', 'liked', 'loving', 'reading', 'interest', 'giving', 'finally', 'started', 'lol', 'hope', 'ptsd', 'days', 'also', 'talk', 'see', 'im', 'depression']"
i_am_henny,"['clouds', 'darkness', 'moments', 'question', 'done', 'life', 'think', 'im', 'depression']"
Nikoisinsane,"['periods', 'appreciate', 'doubt', 'music', 'listen', 'woul', 'still', 'got', 'depression']"
gintaras390,"['mastrubating', 'hentai', 'fells', 'stalkingfeeds', 'mokslaipx', 'animedropout', 'lowiqhighego', 'tevaiduchai', 'animebeast', '24houranimestream', 'smartestanimevillain', 'pity', 'welcome', 'smart', 'posts', 'shitty', 'account', 'hello', 'expect', 'normal', 'twitter', 'suicide', 'self', 'bad', 'life', 'depression']"
krschdn,"['alpaca', 'joining', 'germany', 'iamthechange', 'makechesterproud', 'startet', 'strengths', 'currently', 'psychiatric', 'stressful', 'easier', 'super', 'lifes', 'aching', 'taking', 'strength', 'struggled', 'hits', 'daily', 'walk', 'seeing', 'importan', 'lost', 'clinic', 'others', 'pretty', 'break', 'body', 'stigma', 'point', 'therapy', 'look', 'hard', 'never', 'bad', 'really', 'stress', 'end', 'anxiety', 'im', 'se', 'depression']"
rxchel93,"['ughhhhh', 'lions', 'seven', 'missed', 'rave', 'didnt', 'sad', 'post', 'still', 'even', 'go', 'im', 'depression']"
woojoongk2m,"['bullshit', 'diagnosed', 'sometimes', 'friends', 'self', 'think', 'know', 'depression']"
likables1,"['escaping', 'dementia', 'clients', 'concern', 'worked', 'alzheimers', 'idea', 'good', 'real']"
sblankr,"['implant', 'gave', 'experien', 'never', 'ive', 'anxiety', 'depression']"
Alec_Holbeck,"['medicated', 'regret', 'doctors', 'chance', 'future', 'adhd', 'biggest', 'single', 'medication', 'kids', 'taking', 'struggle', 'life', 'ever', 'eve', 'depression', 'press']"
ScreamingCoral,"['troubling', 'solitude', 'hiatus', 'silence', 'negative', 'huge', 'mention', 'fix', 'funny', 'horrible', 'lately', 'alone', 'mind', 'need', 'trauma', 'feeling', 'also', 'love', 'go', 'depression']"
Joashaha,"['deliciously', 'ironic', 'dick', 'term', 'joy', 'almost', 'guy', 'would', 'made', 'many', 'long', 'help', 'tell', 'things', 'really', 'think', 'men', 'depression']"
rokkenberg,"['due', 'sucks', 'vent', 'days', 'bad', 'much', 'really', 'know', 'dont', 'anxiety', 'ho', 'depression']"
Bacardibatman,"['deffo', 'nick', 'knew', 'medication', 'job', 'long', 'yes', 'amp', 'time', 'ive', 'depression']"
TheJamesForde,"['puppies', 'decreased', 'cries', 'vet', 'brand', 'pup', 'terms', 'jokes', 'shes', 'dog', 'stuff', 'level', 'helped', 'heart', 'issues', 'coming', 'best', 'hear', 'last', 'new', 'right', 'back', 'come', 'stress', 'health', 'mental', 'see', 'th', 'depression']"
gitaandani,"['postconcert', 'hardy', 'thanking', 'franz', 'ferdinand', 'intelligent', 'spamming', 'fades', 'basis', 'whatsoever', 'bob', 'itll', 'liked', 'kpop', 'hurts', 'rather', 'dumb', 'daily', 'effect', 'guess', 'whole', 'idea', 'happen', 'yeah', 'body', 'stigma', 'tweet', 'makes', 'away', 'side', 'trying', 'sure', 'stop', 'mean', 'shit', 'tell', 'suffer', 'would', 'still', 'til', 'much', 'see', 'think', 'end', 'ok', 'get', 'anxiety', 'id', 'im', 'depression']"
gabby_cheese,"['social', 'fun', 'add', 'anxiety', 'depression']"
chuuunsa,"['internship', 'grades', 'fucked', 'course', 'gone', 'plan', 'uni', 'even', 'get', 'dont', 'ive', 'depression']"
