Sibusiso_Mtambo, tonight pray every mental depression broken family jesus mighty name
clinkclinkbish, want truly spread love bottom heart awareness love bf died suicide wil
gothicym, yeah feel like cant stan group point stan bts still like groups lot  thats meant lfkfkkfk stan bts want thats okay also stanning  oooooh okayy ill consider pressed bts uwu  know whats really heartwarming matter many awards trophies bts win treat every single one  lmao guess posted bts intro performance whatsapp story locals see  conclusion stan bts mma2018  love bts  bts fan multi none im curious wanna know
Ubebe_T7, anxiety depression suicidal thoughts came every like im trying show  anxiety depression suicidal words thrown around lot days huh  less stress focus kids
SalaciousShana, technologies based schizophrenia causes get traceable text messages people wooooohooo fucking bullshit
nakedmeoon, stop fucking judging yeah im suicidal wont shit depressed omg yeah  im depressed  depressed
moonlightx32, level depression bcs sometimes suicidal thoughts
wondrousjem, another depressed day deal  really hard understand depressed person
AlutaContinua21, tell skhu entire module suicide year signs subtle amp unfo  abuse publicity stunt people visible yall really know nothing abuse
nixraps, disconnect dont want therapy thats left vertical infinity sign known  anger stress
errowo, negative stigma around therapy damn reason every time go therapy therapist encou
LucyToynbee, thats true try small ways fight stigma fromwithin system howe  sometimes mh pts abusive mh staff many reasons genuine question thi
JwatkinsJasmine, life love bts army dont let anyone put different different better bei  okay ok get criticized liking bts lot sometimes wanna
Roland00Address, someone tried create stigma saying jk touch office call offic  built differently stress eat previous tweet wro  stress eat child young teen almost never problem  depression types types symptoms various brain regio  enter flow depressed flow habits rituals tasks day helps  cool well flow interesting psychology due renaissance new neuroimaging tools th  idea flow psychology similar
AmeliaOnthesun, still hope bad parts stress dream royal wedding softie
dyIvnobricn, got real shit stress boy aint worried bout shit  studied psychology high school honestly loved sm  dont think yall understand interested people work way psychology damn interesting
_Basic_Nobody_, uhm im tired got alot anxiety im shaking alot  leave maths bit earlier anxiety going way far  oof anxiety
monsteronearth, cigarettes sex version honey mine cigarettes blade selfharm suicidal anxiety  guess happen stop tweeting suicidal suicideprevention  someone explain one day everyone looks sad grumpy suicideprevention  one commits suicide want die want stop pain suicideprevention  im sorry last day last post one suicide suicidal gonna kill  unhealthy love unhealthy live loving someone suicide wanna die  never give one suicide plans theyre one get fucking world nevergiveup  sadly poems suicide death doesnt pay broke  better die going people make depressed tell die
endeverstar, mean alternately ability sleep 18 hoursday important note without depressed would work  think unlikely symptoms would completely disappear trauma responses hardwired
taejinvilla, bts outsold  bts gtfo  bts outsold everyfuckinhone  antis bts westernized bts mma  bts concert  lets get bts  bts gonna come necks  bts taking home awards deserve  js whole bts concert yall  wake early tomorrow things bts  naiiyak ako want buy bts season greetings also wand buy astro season greetings
TrevorProject, movie takes something like conversion therapy plays step step see damaging hur  givingtuesday remember one supportive person decrease young persons risk suicide 30
wmnjoya, hazingke hazing american word using violence humiliation abuse initiate people select cl
wizoners1, im looking mutuals rt stan izone snsd 2ne1 twice exo bts
daehruoyserehw, also real talk know depression lot deal sam might well think hard  work privy depression imagine like sorry brain doesnt work right sorry  reminding depressed person depression tedious exhausting rarely helpful know  spiraling existential depression earnest expressions suicidal ideation crippling anxiety financial  cummit suicide  guess alcoholism getting bad im sure
stannabelle, dont abuse kids let kids commit crimes thats work  one fave kids met jdc turn 18 told serious trauma experienced th  coworker dog named radar works jdc therapy dog cats yet
seIfiedump, chapter 20 clinically depressed suicidal oh couldnt tell busy looking mirror
900MonsterDuc, mother taking children harms way arrested child abuse  please call suicide hotline care
BelleTimsit, incredible story suicide prevention awe written highly recommend
missinginsight, insides could talk secrets secretswillsurface hiding mentalhealth truthshallsetyoufree sadness  spoton explanation dissociativeidentitydisorder different ptsd mentalhealth  dont know feeling worse pain sadness pain depression doesnt really matter fe  15 ways show gratitude improve happiness via depression  signs might need mental health break via mentalhealthawareness mentalhealth  heart like deserve world recovery selfworth mentalhealth
Engikirby, good news gonna lose house bad news father still coping depression hospital
RosalineWidow13, today checking mental hospital seek treatment get help bpd ocd depress anxiety  isnt grand anxiety makes feel like youre heart attack youre also struggling
pretzellogic79, sudden emotions memories abuse endured buried flooding back vengeance  hit hard although drinkingdriving applies suicide knew  ex hid behind excused physical emotional abuse via bipolar  even told almost killed last year ptsd stressful situations incr  realized type abuse actually name like wave relief know  real thing professionally diagnosed ptsd narcissistic domestic abuse  ill never give pass abuse suffered hands want make
theoreticalwzrd, selected give talk gordon research conference moment depression se  tw suicide talk student lost know feeling like putting effort fix thi  tw suicide talk know pain feels unbearable know even people say talk  tw suicide talk part kind like student gets better gets different wish knew pa  another student suicide campus combined low depression monday making com  already addressed issue saying first someone high anxiety depression wh  sure making sense complaining depression hitting hard today cant deal  depression something easily idk asking mindful think student  doesnt seem like huge deal adds every week also depression  mental health pretty much everyone department knows suicidal depressed doesnt stop  yeah figured wasnt sure much stress aboutprepare ideas things  fix someone destroyed much years abuse wish still wasnt like  yesterday complete waste mix depression migraine made anything impossible spent  hmm depression exhaustion introvertedness making want back event tonight
spaceempress, sitting floor work crippling depression
softharrie, medication prescribed mainly treats bipolar disorder dont like im confused  getting ready fight someone thanks goodness anxiety meds bc ill amp anxious see psychiatrist  ive already taken anxiety meds think im panic attack im anxious amp cant breathe hate happens  im tired feeling like cant breathe like im gasping air idk anxiety mind ugh  havent written anymore larry christmas fic see lose mojo amp let depression creep back amp everything gone  anxiety prevents black friday shopping thats probably good thing dont spend money
TheCatInShoes, young depressed ready throw future away  appointment therapist crippling depression  tomorrow friday useless school day ever depression never greater  months ago used think depression temporary thing like puberty going  depression gang rise
nadyfhia, cant even imagine like genuinely happy lmao depressed  anxiety everyone focusing theyre thinking depression ever whatno thats meant
aaangelamaeee_, natatakot akong mag commit ng suicide pero parang sa mga nangyayare sakin ngayon gugustuhin ko nalang  suicidal kids telling suicidal kids suicide answer yes  ka stress  bukod sa stress puro taba lang naipon ko year hays stressedt
SpilledMineToo, saw irish ska band brooklyn depression hitting little harder usual
birdy_top, ok ive really depressed week best friend drove beach yesterday stayed hotel
kaylikesbutts, love bpd great day everyone compliments friends like find  whatever ill spend half money weed zone months get heroin addiction something  wouldnt even surprised brain damage tbh maybe drug abuse destroying memory maybe  might fuck around fall love whats point im gonna depressed  need heroin social anxiety  depression gun  missed therapy appointment time cry car
sviisv, sad lonely hurt upset alone depressed suicidal angry shouting giving empty worthless misunderstood incapabl
RubyJaneCDiaz1, dont hurt want take suicide hurt want lessen pain feel emotiona
AleezehFatimah, suicide easy option people go lot kill necessary
SadAmy7, feeling im literally physically pop disgusts bed bingeeatingdisorder mentalhealthawareness  things capacity binging never ceases amaze bed bingeeatingdisorder eatingdisorders mentalhealthmatters  im struggling much depression moment didnt think anything could make smile giggle  sleep last night im sick either sleeping constantly depression
dsnypunkx, tw sh stress levels going actual roof making want self harm ffs
Staronet2, hey remember said got chu well lets pretend didnt adhd moment
samihah_17, think time last year depressed suicidal close giving everything insane ahhh  zayn speaking called muslim im concerned doesnt believe therapy solut
ohhhweird, really bad feeling heart cant shake hate anxiety nothing get head
DalyLizzie, im hairdresser anxiety whats superpower  literally get worst anxiety room mess depression makes dont want clean lol  dreams lately hair wicked long every time wake get super depressed lol like im alre  need stop looking live feed election results bc im anxiety attack
1MyStory1, one needs ive called 911 feeling depressed im still depressed havent even diagnosed
secretthoughtxx, yiiie potangina bipolar talaga ako
kristnkringle, start work one minute im cant wait throw anxiety  morning depressed cancelled
shawnottostyles, know depression lost nearly friends cant talk anyone
psypharmacopeia, saying never treat uti elderly acute onset confusion many pts ap  ptsd diagnosis disqualified someone owning firearm many people ptsd th
jpaigenoelle, ready depression sleep lol take awey
maggiemoooo13, im im queer im watching great british bake anxiety severe  im watching video said ocd anything strangled  truly devious end cliffhanger amazing vacation book causing stress
SpookGato, hes best working within system man saying loud makes kind depressed
cordeliamoor_, letter parent child selfharms mentalhealthawareness  ah yes love intense anxiety strikes nowhere leaves basically incapable anything trying breathe  check post wrote delightful cara detailing day life bpd excellent wording  suicide story dont hear bloggerloveshare theclqrt
gerrymill, correct people lose battles suicide cant choose
nocalspls, ive struggled past years bad depression selfharming ednos wasted last teen years  worldmentalhealthday want share something personal thread end 2017 tried tak
Uniformofficer, organising works christmas partyive never known stress like
nyankamoto, crying stress someone hey ok yeah
AbstractNotepad, thanks earl album drop depression aesthetic
na_rmc_, ive depressed still days ive suicidal im glad im okay im glad could understan  crazy makes feel like belongs depressed like theres way
kaylaclairecia, feel like ive put wellbeing risk sake people know theyll glad th
tcboyle, thanks daveyou exactly right start therapy
daryldixno, talked abt bohemian rhapsody therapy today  got ad said free depression test read free happy finnish happy depression test
alasiasid, round lot factors trigger depression everyone cope many people lose battl  helped depression seems topic pakistan watching funny videos
Rhys_Smart, icymi dear bus drivers dive anxiety getting onto bus  icymi mentallyobsessed went live today letstalkblackpink blackpink blink twice exo bts  main platforms listen letstalkblackpink blackpink blink twice exo bts anchor  oh jesus anxiety going im even well done well already imaceleb  saw advert bts movie whaaat  live chat currently available 800 mentalhealth someonetotalkto support
AnxietySihas, really funny anxiety cant work past poor like brain worries day long everything
imfknsad, wave anxiety hit hard  depression really fuckes  im probably gonna cancel plans today bc anxiety going therapist extreme today awful
Taskeenkirmani, totally agree stress resonating
Sparkiestgerm, sick plan assisted suicide want alone
bri_intencion, honest feel alone left behind sad depressed suicidal cos
callmejors, may find peace amidst madness worldmentalhealthday  anxiety death
sugaryyoongz, omg ypu rightt bts still yet comee
DW_Supernatural, someone suffers daily depression struggle talk anyone including
BBlueBird992, never depressed suicidal never udea therapist even help  think plp work starting maybe think crippling depression self loathingwhy  psychologist emailed thats hes depressed help anyone gave email another psychologis
CULCHIEQUEEN, money wont buy happiness sure take significant amount financial stress help yo  cant believe got abuse declarations love feel tepid
Asobele90jr, mental trauma worst issues like thecharity2018 thekickagainstsexualviolence  guys suicidal depressed last year god took life completely flipped scrip
Mamadelo_SH, complain depression general mental health lady posted hyperfiltered pictures  matter life comes never contemplate suicide stay fight success would ineluctable  yes im broke 17m debt depressed yes depressed still depressed perhaps wasa
John___Lemon, legit still huge stigma around mental illness especially amongst males killing people thats  dont know anything suicide mental illness dont comment support people  legit logics exact words track 1800 suicide
vl_darling, honestly kinda trauma ttrpgs crowd continue support traumatic systems infrastruct  tagged things latest wip rope male librarian gentle negotiation trauma
MentalStigmas, find triggered cant escape present environment triggers ptsd  worrying overthinking anxiety mentalhealthawareness stopthestigma  healing chemicals mentalhealth stopthestigma  stress deepbreaths prison  anxious try mentalhealthmatters stopthestigma anxiety  depression mentalhealth stopthestigma  ive found danger time depression personally lifted slightly energy ca  war ptsd veterans  ptsd mentalhealthmatters stopthestigma  swings depression mania  think need improve area reguarding mental health letstalk mentalhealth  autism symbols mentalhealth stopthestigma  didnt work first thing everyone brings apart meds find bipolar  autism stopthestigma mentalhealthawareness  think schizophrenia bipolar borderline personality disorder need discussed  takes longer diagnose bipolar highs lows mania induced antide  stress overload
AnarchaNovaism, real crust punk mood stonedly lot anxiety showers  newcomers life really promise dejected depressed time ill get better eventually
libisumbrae, maybe elaborate suicide dignity something might fit nihilistic philos  men im cis woman naturally high testosterone depressed ass would like say
Anubis213_, ones delusions get thoughts im depressed manic hypomanic delusions carr  adhd universities accommodate seek happens multiple disorders layer  talk bipolar often despite repeated attempts take im quite fond  cant homework adhd ass wont stay still know people afab assigned female  everyone come game bed depressed everyone itll fun promised wouldnt  unsubscribe depression
GhalnaTheDragon, without fandom would even depressed already maybe suicidal
jlover33, sometimes want tweet drepessing ass lyrics dont want people think im depressed suicidal mean  gives much anxiety
kimbreadly, anxiety symptoms heart attack daily basis
baekhuntrbl, ddid anything else happen mma 2018 instead bts cause thats im seeing  depression season boysssss
Mal_Mal_Cee, dont even know extra stress left
lovetaeha, im fucking bigger fan bts damn cant take shit anymore  people stan momoland bts time hate coming ways really strongest people
cameronjsamuels, end stigma worldaidsday
anythinggohs, relate pretty much ive suffered anxiety depression since 12 eating
TherapistTee, know atychipohoa mentalhealth family  help cope holiday season stressmanagement familyhustle health mentalhealth  feel depressed around time year provide tools coping video mentalhealth  holiday blues tough video discuss signs ways cope mentalhealth  happy announce supplemental guide parents teachers concerned teen considering suicide  know perception lead anxiety depression also lead reduction selfesteem  know perception lead anxiety depression also lead reduction selfesteem  psychiatric evaluation reasons elementary kids sent er mentalhealth parentingtips education  namicnow18 come join us nami keystone pennsylvania annual child adolescent mentalhealth conferenc
ReggyReturns, indeed pure abuse lol getfriendsordietrying poor fella
Frances_Larina, much childhood trauma nt expectations amp judgement whenever learned adaptations ki  often id learned repression dissociation etc trauma included aba id lost
pea_gravel, share addiction save artisan teas adagio favorite gc good 24 hours 6042152094
85c10_javi, idk yall really care depressed ppl always joke like cool thing depression idk tf wrong yall
MakeWay4smile, never ever ever tell someone bpd mental illnesses make us worrysome dont tell us overreacting  song songs bpd really good far  bpd vs bipolar differences amp comorbidity via  bpd episode looks like living borderline personality diso via  bpd splitting via  bpd episode breakdown feels via  10 ways help someone bpd via  bpd episodes get angry get scared become extremely suicidal split lot ppl self harm  simple compliment save life better rting suicide hotline  hello everyone im back im still experiencing bpd episode rn imma every hehe  bipolar victims emotional times bpd bit worst since includes billion symptoms  swear next time say bpd better hear bipolar honestly makes pissed  bpd victim afraid lose everyone self harm something like cha  stop mixing bpd bipolar disorder different things  thinking suicide rn im hard time ignoring ill hopefully fine need time  heard firework anxiety going cant move  youre receiving help even problems remember look back last suicide  depression head see well drown lungs  last time attempted suicide heard grandpa crying made stop
MiloJo89, temptingbut adhd couldnt handle
KaraHalford, second week school starting already feel heightened depression sinking bones blackening soul  im eaten alive chiggers depression
ryleevictorian, every single person blamed mental health depression suicidal tendencies anxiety etc
spaceaqueerius, discipline without boundaries abuse
MurrayMonday, okay im pretty sure im gonna telling people mentalhealth problems tomorrow  depressed work didnt started going broke worked feeling depressed years aft
Edpga0897, person feels less heartbroken depressed suicidal listening
BeckyOnTheRadio, try sad light use one struggle seasonal depression works wonders  ive night medication brain detoriated faster youd imagine ive slept ocd tho  world completely fallen pieces im feeling insanely trapped lost depression cloud taki  want know delightful side affect ocd woke times night bed time rout  back front sad lamp blinding bright light order possibly get affected seasonal depression  ocd frustrating bought new dress today gorgeous theres seam slightly  oh relate hate little ocd compulsions illness sometimes find hard  ive ocd anxiety panic attacks since long remember made difficult child  worldmentalhealthday day always grateful get celebrate year ive open
ArwenFalvey, halcon floor map im happy say tables incredibly close canadian armed forces booths ptsd  dr ford grown woman respected professor sought therapy passed lie detector test encou  dont know would without stuff really game changer ptsd  sometimes anxiety gets bad feels like brain isnt even mine wouldnt trippy
nickloppenborg, anxiety gnawing away soul
EmilyThorn2018, begged diagnosis time bpd adhd ptsdcptsd  fuck emotions fuck mental illness fuck stigma fuck fake friends soo done rn  abuse abuse physical abuse damaging emotional abuse lifelong psycological effects  good qualities live bpd much stigma surrounding bpd time tell  illnesses stopping want hopefully graduate therapy lif  issues related trauma  mine caused neglect abuse also sexual assault  15 years treatment im therapy year  mind diagnosis bpd still dissociate quite bit hear things  evidence everyone lives mental illness threat also explains therapy crucial  headaches constantly due adhd  stigma kills beyond frustrating
uhtobehonestwtf, lonely depressed suicidal sad tired  people money still get depressed
transegghatcher, informed consent take required psych letters equation many cases therapy muc  used daily obsessive ocd dysphoric thoughts things like hairline th
Meow_gnicifent, people say think depression look cool thats exactly one pays attention people actually need help  tell idk feels depressed suicidal take step back shut  wanna kill ok eat bunch pills save others trauma watching jump buildi  anime addiction
sophiemiddIeton, worldmentahealthday im glad ppl coming together break stigma mental health sadly  ok pls dont ask depth personal questions depression suicidal tendencies attempts
RaniaElnahrawy, كسمك عشان مفيش دين أم رأي إننا مينفعش نحبس الناس عشان لبسهم وكسمك تاني عشان bipolar ده مرض مش دين أم صفة تستخدم  course goes back amazing mama literally dragged shopping bec depressed af
unti1death, epic depression nap  yalli exhausted daily allowance angry tweets day today anyway depression naptime think  yall bts really flexed saved life didnt sneaky little  okay going depression nap  depression nap make festive
TehreemAyazz, depression sickness thing neglect suffering troma like feel sui
ohthawadi, suicidal thoughts couple weeks ago depression 25  breakups hard deal body mind goes withdrawal like drug addiction become addicted love
NaiYrAisaNai, colleague committed suicide days ago work pressure shocked planning suicide
dravenmercury, love gettin hit random waves depression
SeaveysH, honestly im pretty sure friend wouldnt depressed suicidalbut  gabbie im cut im like anxious depressed rn  fuck anxiety depression 316 havent slept yet mention slept hour  guys im panic attack im super depressed cant stop thinking cutting  hate depression suicide cutting mind lot barely sleep hate also might  honestly people get depression people genuinely support im totally
MumfordJoy, real easy romanticize suicide amp depression truly brings brink th  im going school getting degree truly afford addiction make
sux_me, fucking great ass life knowing like depressed wanting kill  sorta related really still depressed even like primary school suicidal wr
boyohwow, writing suicide note scantron
Edenburgh1985, sound familiar hope gets things done stress free
CynicalHuntress, im depressed soul dont judge
SlowPsycho, dont years since quit addiction fair dont ha
Sylphy_Bat, ハーレイがharleydavidsonに乗っていた asylum knight suicide squadかな  ペンギンがmy suicidal decisionと言っているのも微妙に引っかかる suicide でバットマンは自分を死に向かう者と定義づけたがペンギンとバットマンの完全な対比を生み出しているような気もしてくる  今回のベインペンギンバットマンほぼみんなi amと言っているわけだがi batman suicide bane 全てが効いてくる号になっているそしてみな何かしらアイデンティティを失い
none_the_less00, stress hunger things increase even increase like boost suicidal thoughts mind  today like fuck living life stop bringing suicide mind gonna happen today  mentalillness affect anyone keep talking talking raise awareness amp awareness th
SuccubusDarling, exactly dont costume commissions know depression gets way  im really depressed anxious sick reminds much retail sucks could really give two fucks health
MikeMac63506212, innocent person deserves die chemical addiction hell
_nahisham, back back meeting hari ni sis stress baru ingat nak balik awal
injiduducu, disagreement abuse refusing go along someones religious belief gender identity abuse  identified girl carrying abuse amp vocal campaigner legal self identificat
findyowings, wanna better understand adhd brain works
YonSolitary, meanwhile vcat abuses disabled women go seek justice abuse suffered  fact continue experience abuse hands tribunal appointed ag
rose_twist, today facing eviction nowhere go severe mental health problems mentalhealthawareness mentalhealth  suffer suicidal depression ocd bulimia anxiety eupd told need supported housing  summer year admitted psychiatric ward due suicidal depression resid
ElaXora, intersex people disagree richard intersex horrific igm abuse storyare  intersex person abuse italythis pandemic problem across western count  thread started response intersex abuse igm pathological labelling inter  bring binarymatrons justice part current igm abuse scandals covered uk gov  thebinarywall doctors promoting igm pathologized name branding led huge rates depression
SteinTesla, brilliance shining diamond flawed ptsd amp cte  theres something know random personas amp characters within empathy amp telepathy amp psychology amp str  fusion amp fission physics psychology philosophy honesty truth facts amp morals  autism amp aspergers else explained jinn amp wraiths amp devils amp angels better psychology amp religion  proof censorship bird amp spider global communications need know amp political oaths psychology freud politi  isnt suicide homicide respect amp dignity amp dont ever try amp parasite leech singula  explain empathy amp telepathy amp psychology amp strategy peace amp prosperity amp union  futility rage amp depression lows ptsd amp cte autism reactions fight full spectrum aspergers think  truth stranger fiction truth honesty amp facts amp moral truth simple physics amp psychology amp phil
Jygrcvry, badly want guy comforts every time na depressed ka kaso tangina mapili ka aww di po ak  waking anxiety feeling messed everything worst
f_scottphytz, 22 suicide treatment far lonelier enterprise time two people talking back forth  read attempted suicide short intervention program assip  people attempted suicide wanted nothing mental health system could still reached  suicide interventions dont need complicated thousandpage manual follow billion pharmaceutical resea  people leave hospital suicide attempt greater risk harming within 90 days  theres inherent lack closure suicide even people write notes reveal little suicides  suicide attempts arent cries help secrets zealously guarded
Fabiano3333, hello mike really sorry much abuse late hopefully find someone else leave alone
chicpussykat, im sorry im anxiety earthquake beef row seemed one male cont  dont know much anxiety amp tension orgasm dissolves get relaxed oh cont  eg wouldnt think telling woman including suicide anyso much cocaine inapp  ive put dingbat amp cocaine trying inspire suicide see mea
haitsuya, something fun think slightly less depressed neurotypicals think cured  woke morning posthypermania suicidal depressed im glad actually tried today cuz worth
Suicidal_Art, anxiety wonder much hold much longer take break
lipglosshoe, expectations cause worry stress fact havent actually lived 20s exp
ilovinari, makes feel worthless bit depressed kno truth
ChuckYoLife, girl finds attractive dateable im going depressed working gym  see smiling im happy sign containing alot stress anger
fuffycurtis, depression real lets address issues depression much issues hivaids
UwUgirl69, oh boy think someone needs psychology classes  depressed also doesnt drink water eats shit every meal doesnt exercise havent slept si  seasonal depression year round  much anxiety stomach blow
PercyMeredith, many psychologists treat distress depression amp  currently researching adolescent anxiety level
Emily30Red, oh shit oh shit oh shit triggered ptsd thinking  someone really actually truly helped near suicidal depression people like
thani_abv, interview monday saturday anxiety already roof  depressed last week craving family time much today  made deans list im still depressed thats tea
ReezahNaroth, ptsd woke panting 630 panicking thinking much study still write today 900
WEAGLEMAN, please explain gambling addiction medical condition grewal cdnpoli  gambling addiction medical also groping  suicidal hormones often mentalillness
thelocalwitch, ive struggled suicidal thoughts depression like years hes actually friend  steps take take care wellbeing sometimes means losing people  young person bipolar disorder really empowering see someone massive following still able things  id like thank creating music drastically reduces anxiety levels  havent slept got distracted thats adhd sometimes  person doesnt understand anxiety theater youd great actress backstagecrew work instead  someone bipolar disorder im love sosie bacons portrayal someone said disorder 13rw  thank accurately portraying notsopretty side bipolar disorder every mental  lost friend suicide even months ago may think apology sincere jesus fucking
courtdelaknight, send help online shopping addiction strong  bts twice
smthnbouthim, like bts  bts cheering bew boy group debut stage  bts sex  looking bts gyulfriend  brockhampton bts friends hardly competition  honestly im mega depressed  reminds didnt get tickets bts cried shit ton lmaooo
ndhzt_, felt weird trauma would stop normal found abt acearo identities  severe depression severe depression happens
mkfcca, watching qt enough trauma rest us clearly close extreme right th
rachellovesdnp, proud thank opening anxiety really helping cope mine  lot omg assholes said dan get youtube hes depressed  anxiety
Geordie_Patriot, time moaned sectioned bipolar manic episode ps  agreed dont believe group therapy facebook groups self pity  diagnosed bipolar disorder advice good ideal world  bipolardisorder bipolar lived diagnosis bipolar disorder since 2001 music producer one  im bipolar experience since diagnosed bipolar disorder 2001 people dont give flying fuck  life always going question point im bipolar question existence every single day  hahaha youre psychotic sincere beliefs know im bipolar lol
MinteaGaming, nothing im depressed  anxiety kept going school school called child services took away  mmmm depression kicking  yah leads suicide
_rombomb, realized somethin depressed broke cuz soon direct deposit hit im cured
JasonPeringer, suicide
RamseyShamoun, want depression lift go unifinish engineering travel germany phd thermody  interested serious relationships anxiety sensitivity fuck things early  imagine maoi medicine working depression cured imagine going
GGooober, immmmm back bitches stronger ever currently intensive outpatient back depression th  least stress cus serious hate everything school right teacher fucking mad
mariaaalmalik, depression
ahmed_alzahaf, yes indeed south korea government worked hard get suicide rates since 2011 instance
AlexandriaDVine, hooray shorterthanusual morepotentthanusual therapy sessions
plantkid_, idk maybe main issue anxiety makes assume people mad know  cw sexual abuse  cw animal abuse  cw animal abuse people say shit like dont know whats happening time
DanaWard124, like tbh depression never worse desk job especially sells getting whole week  didnt anyone tell kids wont give kind magical love life depressed suicidal lol
BanounAneece, shouldnt surprised nationalists abuse national patriotic symbols comes come
cubedreamer, needs sue malicious lawsuit abuse  hope hell lose allowed abuse women jail meant fun place inm  name pol emotional blackmail suicide argument used tras irresponsibly must
Self42949001, suicide literally taken thoughts one taking seriously feel alone hopeless  depressed bestfriend liar fake sad need pills someone help  tell boyfriend thinking suicide  depressed impulse buy skin care make feel better
ieemelon, theres reason keep living lol wtf watching shit makes depressed know going
arpiem11, poor guy corsi doesnt die stress related illness feel sick  appalling nothing worse child abuse hypocrisy
Stop_Stigma, book much therapy session justification lol  dont know could help anyone eating chocolate calm drug addiction cravings addictions  truth eating bunch chocolate makes depressed within day withdrawal time lack sleep makes hallucinations  officially crying everything day least suicidal day bipolar  fault bought therapy workbooks sleep last night lol  whole notebook suicide notes basement couch ex coming home mean  im antimed would committed suicide long ago wish knew 15  oh suicideprevention suicideawareness  find writing everything mind huge stress would like get regular habit  good hard get physical therapy  take antianxieg extreme anxiety like suicidal  every follow make sure realize suicidal stress working  youre bipolar def dont take antidepressants  since hit head concussion audio hallucinationsno suicide thoughts hope dream knocked  trying read real books read one emdrnot good seemingly good one dbt amp bpd looking around  pretty good stuff book suggestions dealing someone bpdwhy bpd relationships  im similar suicide kids took bday least littl
Annnaaa6767, negative people get pissed things say personal attack dont mean wrecked anxiety  started therapy yesterday psychologist tell works lot doctors shame lot  levels anxiety rise realise dont blades really quite something  feel sick anxiety  day depressed shower  hi literally need good meds therapy plz  yea stress  whats point drugs dont work psychology doesnt work nothing works  back paroxetine depression goooodddd  avoided getting diagnosis years got depression sigh mixed feelings  feel depression creeping went hard  summary side twitter fags depression gws pro bread  mum thinks get migraines surprise bitch depression
fairylandgf, fans air around vigorously leave alone depression im glad youre us ari
authenticitae, abbie stop asuming bts notice impossible fisherman diving deep ocean
jeyslavs, lord pasayloa jud kog maayo ug ikaw na ang bhala nya lord please take away pain depression anxiety  anxiety depression slowly eating  depression like battlefield either win die fighting  addicted depression
Godly_rosey, yoga morning going work realses stress actually stressing later
MagicoAeman, learnt far happy satisfied whatever want depression taught
_Instaart_, liked video berlin tag amp nacht trennung und mega stress und omg geheidert  34 feeling itch cant scratch dark cloud shrouding anxiety depression
Chicky_Jimin, case dont know gonna tell love park jimin heart bts  watching bts performance mma2018 nth time lost count aldy performance bop  talent shining bright face love one talented man jimin bts  love hunn youre epitome happiness congratulations legends mma2018 bts  bunch love life one frame yes love life mma2018 bts  melon music awards 2018 bts top 10 artist melon best rap hiphop award kakao hot star award  jimin crying speech omg crying mma2018 bts jimin  tae say purple yeh baby like fuckkk heart stop beat moment mma2018 bts taehyung  tae red hair joon purple hair omgg look hella fine mma2018 bts  jimin look cute fuckkkk mma2018 bts  believe gonna put bts last make sure engagement viewers  practically bts concert wbk gonna get full 18 minutes bts concert mma bts  goodnight angel love baby jimin bts  guys looking foward new song mybe gonna drop hint omg shakingggg bts  never thought picture jimin sitting imaginary chair needed today mamavote bts  freakinggg sobbinggg 4oclock rm bts  okay time park fucking jimin try kill voice damn bts  fuckk kim taehyung beyond sexy ohmygoddd bts  guys jimin literally drop song minutes seconds day freak bts  go baby boy missed much hun borahae bts  aaa2018 stand army army army stated namjoon bet next year line would bts army  waiting boys tweet sumn bts aaa2018  naa malaysia bts  wow live end 15m people stream bts effect would say aaa2018 bts  asia artist awards 2018 bts plaque appreciation spreading korean culture globally popularit  daesang goes bts aaa2018  bts panting end performance look hella hot hell aaa2018 bts  bts snapped fake love aaa2018 bts  bts winning second award todayyy aaa2018 bts  bts win plaque appreciation spreading korean culture globally 2018 asia artist awards tell  kings arrived knee everyone aaa2018 bts  countdown aaa red carpet maigooodddd cant wait see bts  hope bts together thru thin thick sad happy storm raindbow bts  cant wait birthday bts epiphany thank  love yoonjin fisherman mamavote bts  oh lord love seven dorks much bts  park jimin tq bb bts  come face bangtan exposing cutie little butt bts yeontan  thank bb bts  hoseok cracking back go three crackheads one video stan bts  park jimin shiii bts  baby dont know miss much hurt im glad youre miss love honeyyy bts  mum love much hurt jimin mamavote bts  streaming lotte duty free bts mv youre beautiful body roll tho bts  miss much park jimin goodnight light moon mamavote burnthestagethemovie bts  whoever never seen fairy angel presenting jimin mamavote bts  smooth like snakeee jimin bts  goodluck ur research psychology always got attention  duality finest jimin mamavote bts  aigooo much visual one screen mamavote bts  blood sweat tears era bitch end discussion thank next jimin mamavote bts  miss bangtan much negativity rising need bts content clean  um oh well wake stare consider dying every single morning bts  woke morning bang pd scandal like yo hitman bang bts  burnthestagethemovie great complete laugh love tears bts thank
takemyheartcth, im depressed feel physically sick  im even person anymore im stress sadness  anyone else find crazy fucking depressed even family notices
sarrssy, ill honest even getting help everything get depression control theres still  hate maself social anxiety
PeterJev, default fit card transactions dey even stress much  na survey dey take someone commits suicide entire tl go dey shout talk someone  im depressed evening anyone could talk
BethWells1397, mental illness horrific depression anxiety ive suicidal absolutely  let anxiety rule life today  actually hate anxiety fuck please
LalaLaaaaaaans, maypa ang mga requirements ginagukod ta aaawww hahahahahahaha stress na pero dapat mamao gihapon ang nawng oy
