Sibusiso_Mtambo,"['mighty', 'jesus', 'tonight', 'broken', 'pray', 'name', 'family', 'mental', 'every', 'depression']"
CDarieal,"['copay', 'befeel', 'venmo', 'cdarieal', 'families', 'supportworshipdenial', 'employee', 'tomorrow', '10', 'thursday', 'section', 'speaking', 'bucks', 'spare', 'abusive', 'fired', 'afford', 'impossible', 'appreciated', 'grateful', 'worked', 'pay', 'todays', 'instead', 'usually', 'small', 'first', '80', 'couple', 'asking', 'pass', 'yesterday', 'rts', 'tried', 'wellbeing', 'suffered', 'looking', 'cant', 'therapy', 'anyone', 'bro', 'health', 'able', 'start', 'shit', 'care', 'years', 'owe', 'well', 'things']"
Wawataik1,"['oldish', 'decided', 'reality', 'struggle', 'first', 'tweet', 'live', 'would', 'today', 'depression']"
Tomuraapologist,"['brave', 'drops', 'sticking', 'crowd', 'scared', 'limb', 'locking', 'hands', 'wow', 'dad', 'cause', 'mood', 'account', 'hours', 'little', 'lose', 'bit', 'bts', 'man', 'real', 'depression', 'id']"
Wet_Uncle,"['companies', 'achievements', 'wtf', 'game', 'affect', 'yet', 'ocd', 'eg', 'abuse', 'people']"
oshdere,"['dms', 'whenever', 'someone', 'anxiety']"
99PercentDark,"['overtime', 'write', 'job', 'full', 'right', 'work', 'love', 'would', 'time', 'stress', 'day']"
MazzottaShawna,"['hun', 'wouldnt', 'much', 'read', 'stress']"
RlFFDADDY,"['highkey', 'bands', 'ticket', 'missing', 'seeing', 'fav', 'currently', 'poor', 'buy', 'bc', 'die', 'time', 'depressed', 'im']"
ArchieBrave,"['wims', 'massively', 'undersold', 'method', 'reliever', 'way', 'stress']"
gdtoogood,"['bounced', 'crazysocks4docs', 'drs', 'highest', 'professions', 'jobs', 'higher', 'workin', 'aus', 'issues', 'serious', 'break', 'stigma', 'start', 'back', 'also', 'suicide']"
Cristin_E,"['discussing', 'addition', 'originating', 'exte', 'given', 'case', 'regular', 'childhood', 'discuss', 'daily', 'surprise', 'struggle', 'gonna', 'doesnt', 'night', 'ptsd', 'trauma', 'last', 'live', 'want', 'therapy']"
psychosis_child,"['wise', 'psychosis', 'plz', 'phd', 'visual', 'perception', 'clear', 'hopefully', 'stay', 'diagnosis', 'become', 'seem', 'isnt', 'looking', 'psychology', 'atm', 'great', 'would', 'way', 'ok', 'like', 'anxiety']"
renae_daniels,"['alyssa', 'goto', 'became', 'boys', 'bout', 'group', 'idk', 'sess', 'start', 'everyone', 'work', 'therapy', 'people', 'stress', 'depressed', 'im']"
david_brown_sr,"['insomnia', 'thoughts', 'life', 'suicidal', 'depression']"
khaleed867,"['shouting', 'misunderstood', 'empty', 'incapabl', 'upset', 'angry', 'worthless', 'lonely', 'hurt', 'alone', 'giving', 'sad', 'suicidal', 'depressed']"
infiniterain,"['figured', 'mainly', 'worrying', 'haha', 'wasnt', 'brain', 'talking', 'thanks', 'nothing', 'actually', 'fucking', 'thats', 'love', 'hard', 'ass', 'even', 'end', 'tho', 'get', 'anxiety', 'depression', 'ge']"
jasoncherkis,"['reddit', 'learn', 'story', 'prevention', 'ama', 'want', 'suicide']"
StarladyStreams,"['spoiled', 'admit', 'happy', 'suffer', 'suicidal', 'depression']"
pharcydeKG,"['sabonis', 'jersey', 'dats', 'okc', 'seeing', 'makes', 'depressed']"
suicidal_ien,"['tøp', 'bts', 'amp']"
ficcleheart,"['fckmylife', 'winning', 'lmao', 'sleep', 'fucking', 'today', 'cant', 'fuck', 'even', 'anxiety', 'im', 'depressed']"
danielskhadijah,"['discouraged', 'illbut', 'world', 'many', 'look', 'think', 'people', 'get', 'suicidal', 'depressed']"
studioanisa,"['mobile', 'company', 'potential', 'collaborator', 'slap', 'transparent', 'extra', 'cw', 'flex', 'thinks', 'weird', 'usually', 'game', 'tweets', 'reach', 'aight', 'internet', 'lives', 'hotline', 'bout', 'reason', 'spend', 'wanna', 'honestly', 'enough', 'money', 'arent', 'wouldnt', 'twitter', 'sign', 'wish', 'tweet', 'sometimes', 'actu', 'shit', 'things', 'amp', 'say', 'see', 'therapy', 'people', 'depression', 'like', 'suicide', 'fe']"
JoelSymonds999,"['traumanaked', 'freezing', 'dreich', 'winter', 'naked', 'patients', 'lying', 'skin', 'trauma', 'know']"
Black_Seed,"['paranoid', 'schizophrenia', 'survivor', 'workplace', 'confli', 'encouraging', 'translator', 'interpreter', 'lecturer', 'risperidone', 'clozapine', 'trihexyphenidyl', 'haloperidol', 'medications', 'commoners', 'depressionmood', 'unfortunately', 'circumstance', 'mindshell', 'dead', 'leader', 'becoming', 'depressive', 'toward', 'swing', 'ideas', 'disturbing', 'stressful', 'pressure', 'appreciated', 'google', 'however', 'empathy', 'missing', 'many', 'professional', 'concern', 'although', 'medication', 'internet', 'absolut', 'suggest', 'lead', 'dreams', 'answer', 'face', 'death', 'major', 'far', 'learn']"
Servalan73Ruth,"['solidarity', 'alex', 'misgendering', 'revolting', 'critics', 'facing', 'outs', 'lord', 'true', 'said', 'oh', 'talk', 'abuse', 'time', 'ive', 'suicide']"
JacobPeoplee,"['incredibly', 'wrote', 'referral', 'musculoskeletal', 'specialist', 'possibility', 'fracture', 'ankles', 'sandy', 'igving', 'reassurance', 'unfair', 'dismissal', 'disclosing', 'internationalmensday', 'inspiration', 'm4mh', 'iamwhole', 'counselling', 'kept', 'quiet', 'woken', 'nick', 'needing', 'boss', 'poetry', 'yesterdays', 'class', 'raise', 'stupid', 'small', 'ocd', 'create', 'proud', 'walk', 'fus', 'second', 'job', 'suicideprevention', 'anxious', 'money', 'said', 'serious', 'didnt', 'form', 'high', 'honest', 'someone', 'today', 'bit']"
neurochicken,"['limping', 'etc', 'disorder', 'imagine', 'hurt', 'leg', 'tryi', 'depression']"
laurensthrone,"['regularly', 'seeing', 'surprised', 'hurt', 'still', 'die', 'hate', 'thought', 'want', 'people', 'suicidal', 'suicide', 'go', 'im', 'depressed']"
pipwhistleblow,"['alzheimers', 'bedridden', 'operation', 'doddery', 'thankyou', 'lt3', 'correlation', 'astrological', 'shutup', 'shocking', 'propaganda', '60', 'anus', 'cod', 'autism', 'waiting', 'together', 'thread', '30', 'path', 'saying', 'theres', 'psychology', 'pain', 'hip', 'rate', 'bit', 'right', 'shit', 'ass', 'alt', 'dont', 'anxiety', 'suicide', 'depression', 'th']"
mommyisstoned,"['dispensary', 'medicated', 'cannabiscommunity', 'mmj', 'ibd', 'blinding', 'toes', 'honey', 'checking', 'headache', 'touch', 'medication', 'lines', 'went', 'guess', 'witho', 'ptsd', 'panic', 'wait', 'hey', 'attack', 'long', 'thank', 'never', 'take', 'thought', 'suicidal', 'anxiety', 'depression']"
NehalElsayyad,"['shouting', 'misunderstood', 'empty', 'incapabl', 'upset', 'angry', 'worthless', 'lonely', 'hurt', 'alone', 'giving', 'sad', 'suicidal', 'depressed']"
Joey_Redballs,"['trade', 'passing', 'eternal', 'flu', 'would', 'day', 'depression']"
Rene71741508,"['laughing', 'baby', 'relax', 'alot', 'constantly', 'matter', 'currently', 'child', 'girl', 'isnt', 'harm', 'attack', 'good', 'stress', 'suicide', 'anxiety', 'one']"
thomas4th,"['80s', 'synthpop', 'mood', 'heard', 'cover', 'band', 'big', 'hey', 'depression', 'depress']"
yourfavEgyptian,"['enough', 'cant', 'stress']"
MattyBodies,"['dies', 'harmful', 'somebody', 'kick', 'yall', 'yeah', 'know', 'real', 'bu', 'depression']"
potatymn,"['edibles', 'supplies', 'tyvm', 'walked', 'substance', 'bought', 'smoking', 'crippling', 'mood', 'longer', 'issues', 'high', 'around', 'lol', 'disorder', 'ptsd', 'tell', 'got', 'take', 'really', 'abuse', 'ill', 'depressed']"
imsrymsjackson_,"['17hr', 'hated', 'scariest', 'masked', 'smiles', 'laughs', 'awesome', '17', 'drugs', 'telling', 'next', 'struggling', 'often', 'week', 'sleep', 'dream', 'drug', 'bad', 'around', 'health', 'addiction', 'everyone', 'mental', 'back', 'much', 'hr', 'know', 'people', 'thing', 'depression']"
makaylan29,"['broken', 'misfits', 'outcast', 'murderers', 'thieves', 'slave', 'fulfilling', 'emptiness', 'brokenness', 'god', 'uses', 'lonely', 'longer', 'drug', 'used', 'child', 'sometimes', 'things', 'thoughts', 'suicidal', 'think', 'people', 'use', 'depressed', 'anxiety', 'depression']"
clinkclinkbish,"['bf', 'spread', 'bottom', 'truly', 'died', 'wil', 'heart', 'love', 'awareness', 'want', 'suicide']"
gothicym,"['lfkfkkfk', 'stanning', 'okayy', 'uwu', 'heartwarming', 'trophies', 'whatsapp', 'locals', 'curious', 'oooooh', 'conclusion', 'none', 'bts', 'meant', 'posted', 'intro', 'performance', 'mma2018', 'groups', 'multi', 'consider', 'awards', 'single', 'stan', 'lmao', 'group', 'point', 'guess', 'fan', 'whats', 'story', 'wanna', 'thats', 'okay', 'matter', 'yeah', 'treat', 'many', 'win', 'lot', 'know', 'love', 'also', 'still', 'see', 'cant', 'really', 'want', 'every', 'like']"
Ubebe_T7,"['thrown', 'huh', 'words', 'came', 'focus', 'kids', 'show', 'around', 'trying', 'days', 'lot', 'thoughts', 'less', 'suicidal', 'every', 'stress', 'anxiety', 'like', 'depression', 'im']"
SalaciousShana,"['technologies', 'traceable', 'messages', 'wooooohooo', 'bullshit', 'causes', 'based', 'schizophrenia', 'text', 'fucking', 'people', 'get']"
nakedmeoon,"['judging', 'yeah', 'wont', 'omg', 'stop', 'shit', 'fucking', 'depressed', 'suicidal', 'im']"
moonlightx32,"['bcs', 'level', 'sometimes', 'thoughts', 'suicidal', 'depression']"
wondrousjem,"['understand', 'another', 'deal', 'hard', 'person', 'really', 'day', 'depressed']"
AlutaContinua21,"['skhu', 'module', 'publicity', 'stunt', 'visible', 'subtle', 'unfo', 'signs', 'entire', 'yall', 'nothing', 'tell', 'abuse', 'amp', 'year', 'really', 'know', 'people', 'suicide']"
nixraps,"['disconnect', 'vertical', 'infinity', 'left', 'known', 'anger', 'sign', 'thats', 'want', 'therapy', 'dont', 'stress']"
errowo,"['negative', 'encou', 'reason', 'damn', 'therapist', 'around', 'stigma', 'therapy', 'every', 'time', 'go']"
LucyToynbee,"['fromwithin', 'mh', 'abusive', 'reasons', 'staff', 'genuine', 'small', 'true', 'system', 'question', 'fight', 'howe', 'many', 'ways', 'stigma', 'sometimes', 'thats', 'try', 'pts', 'thi']"
JwatkinsJasmine,"['criticized', 'liking', 'different', 'army', 'wanna', 'bei', 'okay', 'bts', 'put', 'anyone', 'better', 'sometimes', 'lot', 'love', 'let', 'life', 'dont', 'ok', 'get']"
Roland00Address,"['flow', 'types', 'office', 'various', 'regio', 'habits', 'rituals', 'tasks', 'renaissance', 'neuroimaging', 'jk', 'built', 'differently', 'previous', 'tools', 'touch', 'offic', 'almost', 'enter', 'helps', 'cool', 'similar', 'psychology', 'interesting', 'symptoms', 'create', 'teen', 'young', 'due', 'tried', 'saying', 'wro', 'problem', 'brain', 'tweet', 'idea', 'stigma', 'child', 'well', 'new', 'call', 'eat', 'never', 'someone', 'stress', 'day', 'depressed', 'depression', 'th']"
AmeliaOnthesun,"['royal', 'wedding', 'softie', 'parts', 'dream', 'hope', 'bad', 'still', 'stress']"
dyIvnobricn,"['worried', 'studied', 'loved', 'interested', 'psychology', 'aint', 'interesting', 'bout', 'damn', 'shit', 'honestly', 'yall', 'understand', 'boy', 'school', 'high', 'got', 'sm', 'work', 'way', 'think', 'dont', 'people', 'stress', 'real']"
_Basic_Nobody_,"['alot', 'uhm', 'maths', 'shaking', 'earlier', 'oof', 'leave', 'far', 'tired', 'bit', 'got', 'going', 'way', 'anxiety', 'im']"
monsteronearth,"['cigarettes', 'unhealthy', 'grumpy', 'loving', 'nevergiveup', 'poems', 'suicideprevention', 'version', 'tweeting', 'honey', 'blade', 'sadly', 'die', 'commits', 'pay', 'selfharm', 'explain', 'plans', 'looks', 'death', 'mine', 'theyre', 'guess', 'stop', 'sorry', 'wanna', 'broke', 'last', 'post', 'world', 'happen', 'pain', 'someone', 'sex', 'gonna', 'kill', 'give', 'better', 'doesnt', 'sad', 'everyone', 'tell', 'fucking', 'want', 'live', 'love', 'never', 'going', 'suicide', 'make']"
endeverstar,"['alternately', 'ability', 'hoursday', 'unlikely', 'disappear', 'responses', 'hardwired', 'completely', 'important', 'symptoms', 'without', 'note', 'would', 'sleep', '18', 'mean', 'trauma', 'work', 'think', 'depressed']"
taejinvilla,"['outsold', 'greetings', 'gtfo', 'everyfuckinhone', 'antis', 'westernized', 'necks', 'js', 'naiiyak', 'wand', 'concert', 'bts', 'astro', 'season', 'buy', 'deserve', 'home', 'ako', 'taking', 'awards', 'wake', 'early', 'tomorrow', 'lets', 'mma', 'yall', 'whole', 'gonna', 'things', 'come', 'also', 'want', 'get']"
TrevorProject,"['conversion', 'plays', 'givingtuesday', 'supportive', 'decrease', 'step', 'takes', 'damaging', 'persons', 'risk', 'movie', 'young', '30', 'remember', 'hur', 'something', 'person', 'see', 'therapy', 'like', 'suicide', 'one']"
wmnjoya,"['hazingke', 'hazing', 'american', 'humiliation', 'initiate', 'select', 'violence', 'word', 'using', 'cl', 'abuse', 'people']"
wizoners1,"['mutuals', 'izone', 'snsd', '2ne1', 'twice', 'exo', 'looking', 'bts', 'stan', 'rt', 'im']"
daehruoyserehw,"['privy', 'tedious', 'exhausting', 'helpful', 'spiraling', 'earnest', 'expressions', 'cummit', 'rarely', 'existential', 'ideation', 'financial', 'sorry', 'sam', 'reminding', 'alcoholism', 'crippling', 'imagine', 'guess', 'brain', 'might', 'deal', 'sure', 'doesnt', 'right', 'getting', 'work', 'well', 'bad', 'lot', 'know', 'also', 'hard', 'person', 'talk', 'think', 'real', 'depression', 'suicidal', 'like', 'suicide', 'anxiety', 'depressed', 'im']"
stannabelle,"['jdc', 'dog', 'fave', 'named', 'radar', 'cats', 'kids', 'crimes', 'coworker', 'experienced', 'turn', 'works', 'told', 'serious', 'yet', '18', 'commit', 'trauma', 'thats', 'let', 'work', 'abuse', 'met', 'therapy', 'dont', 'one', 'th']"
seIfiedump,"['clinically', 'chapter', 'mirror', 'busy', 'couldnt', 'looking', '20', 'tell', 'oh', 'suicidal', 'depressed']"
900MonsterDuc,"['arrested', 'harms', 'mother', 'children', 'taking', 'hotline', 'please', 'child', 'care', 'call', 'abuse', 'way', 'suicide']"
BelleTimsit,"['incredible', 'recommend', 'highly', 'awe', 'written', 'story', 'prevention', 'suicide']"
missinginsight,"['sadness', 'insides', 'secretswillsurface', 'hiding', 'truthshallsetyoufree', 'spoton', 'explanation', 'dissociativeidentitydisorder', 'gratitude', 'selfworth', 'via', 'secrets', 'improve', 'recovery', 'happiness', 'deserve', 'signs', 'mentalhealth', 'pain', 'worse', '15', 'different', 'heart', 'show', 'might', 'matter', 'break', 'world', 'mentalhealthawareness', 'doesnt', 'ways', 'could', 'ptsd', 'feeling', 'talk', 'health', 'need', 'really', 'know', 'mental', 'dont', 'like', 'depression', 'fe']"
Engikirby,"['news', 'father', 'coping', 'house', 'hospital', 'lose', 'gonna', 'bad', 'good', 'still', 'depression']"
RosalineWidow13,"['checking', 'seek', 'grand', 'struggling', 'youre', 'hospital', 'treatment', 'isnt', 'heart', 'ocd', 'bpd', 'makes', 'attack', 'also', 'today', 'help', 'mental', 'feel', 'get', 'anxiety', 'like', 'depress']"
pretzellogic79,"['memories', 'buried', 'flooding', 'vengeance', 'drinkingdriving', 'applies', 'excused', 'situations', 'relief', 'professionally', 'emotions', 'endured', 'realized', 'narcissistic', 'domestic', 'sudden', 'hid', 'almost', 'killed', 'stressful', 'type', 'hands', 'although', 'knew', 'behind', 'wave', 'emotional', 'via', 'diagnosed', 'pass', 'told', 'name', 'suffered', 'ptsd', 'abuse', 'physical', 'incr', 'give', 'bipolar', 'actually', 'last', 'back', 'hard', 'never', 'hit', 'make', 'year', 'want', 'know', 'even']"
theoreticalwzrd,"['fix', 'student', 'selected', 'gordon', 'putting', 'unbearable', 'campus', 'combined', 'addressed', 'sense', 'complaining', 'adds', 'aboutprepare', 'destroyed', 'hmm', 'exhaustion', 'introvertedness', 'making', 'gets', 'wasnt', 'conference', 'effort', 'easily', 'department', 'figured', 'ideas', 'migraine', 'monday', 'hitting', 'mindful', 'knows', 'waste', 'impossible', 'huge', 'tonight', 'wish', 'research', 'knew', 'mix', 'spent', 'deal', 'asking', 'sure', 'moment', 'kind', 'complete', 'talk', 'doesnt', 'feels', 'different']"
spaceempress,"['sitting', 'floor', 'crippling', 'work', 'depression']"
softharrie,"['breathe', 'prescribed', 'psychiatrist', 'gasping', 'larry', 'mojo', 'prevents', 'mainly', 'treats', 'confused', 'goodness', 'creep', 'anxious', 'meds', 'taken', 'gone', 'shopping', 'medication', 'written', 'christmas', 'friday', 'happens', 'anymore', 'probably', 'fight', 'black', 'amp', 'spend', 'already', 'tired', 'idk', 'panic', 'money', 'bc', 'lose', 'thanks', 'havent', 'fic', 'ready', 'air', 'everything', 'bipolar', 'disorder', 'see', 'cant', 'getting', 'attack', 'hate', 'thats', 'good']"
TheCatInShoes,"['puberty', 'gang', 'useless', 'greater', 'temporary', 'appointment', 'throw', 'future', 'crippling', 'friday', 'young', 'therapist', 'tomorrow', 'months', 'rise', 'away', 'school', 'used', 'ready', 'ago', 'never', 'going', 'think', 'depression', 'day', 'thing', 'like', 'ever', 'depressed']"
nadyfhia,"['focusing', 'genuinely', 'whatno', 'meant', 'lmao', 'theyre', 'imagine', 'happy', 'thinking', 'everyone', 'thats', 'cant', 'even', 'like', 'ever', 'anxiety', 'depressed', 'depression']"
aaangelamaeee_,"['natatakot', 'akong', 'parang', 'nangyayare', 'sakin', 'gugustuhin', 'nalang', 'bukod', 'puro', 'taba', 'naipon', 'hays', 'stressedt', 'mga', 'kids', 'pero', 'ngayon', 'lang', 'ko', 'telling', 'answer', 'mag', 'yes', 'commit', 'ka', 'stress', 'year', 'suicidal', 'suicide', 'sa', 'ng']"
SpilledMineToo,"['irish', 'ska', 'brooklyn', 'harder', 'hitting', 'saw', 'band', 'usual', 'little', 'depression']"
birdy_top,"['drove', 'beach', 'stayed', 'hotel', 'yesterday', 'best', 'week', 'friend', 'really', 'ok', 'ive', 'depressed']"
kaylikesbutts,"['heroin', 'compliments', 'weed', 'memory', 'gun', 'zone', 'damage', 'destroying', 'missed', 'appointment', 'maybe', 'whatever', 'half', 'surprised', 'tbh', 'social', 'point', 'spend', 'months', 'fall', 'whats', 'drug', 'money', 'brain', 'find', 'wouldnt', 'might', 'love', 'friends', 'around', 'cry', 'bpd', 'great', 'gonna', 'something', 'addiction', 'everyone', 'car', 'need', 'fuck', 'abuse', 'even', 'therapy', 'time', 'day', 'get', 'ill', 'like', 'anxiety', 'depressed']"
sviisv,"['shouting', 'misunderstood', 'empty', 'incapabl', 'upset', 'angry', 'worthless', 'lonely', 'hurt', 'alone', 'giving', 'sad', 'suicidal', 'depressed']"
RubyJaneCDiaz1,"['lessen', 'hurt', 'emotiona', 'pain', 'want', 'take', 'dont', 'feel', 'suicide']"
AleezehFatimah,"['necessary', 'easy', 'option', 'kill', 'lot', 'people', 'suicide', 'go']"
SadAmy7,"['bingeeatingdisorder', 'disgusts', 'capacity', 'ceases', 'amaze', 'eatingdisorders', 'giggle', 'bed', 'binging', 'smile', 'sleeping', 'constantly', 'physically', 'struggling', 'pop', 'mentalhealthmatters', 'moment', 'either', 'didnt', 'anything', 'literally', 'mentalhealthawareness', 'sick', 'sleep', 'could', 'night', 'things', 'last', 'feeling', 'never', 'much', 'make', 'think', 'depression', 'im']"
dsnypunkx,"['ffs', 'roof', 'levels', 'making', 'actual', 'harm', 'self', 'going', 'tw', 'want', 'stress', 'sh']"
Staronet2,"['chu', 'pretend', 'moment', 'remember', 'lets', 'said', 'didnt', 'adhd', 'hey', 'well', 'got']"
samihah_17,"['zayn', 'muslim', 'insane', 'ahhh', 'speaking', 'concerned', 'close', 'called', 'solut', 'believe', 'giving', 'everything', 'doesnt', 'last', 'year', 'think', 'therapy', 'time', 'suicidal', 'depressed', 'im']"
ohhhweird,"['shake', 'head', 'heart', 'nothing', 'hate', 'bad', 'feeling', 'cant', 'really', 'get', 'anxiety']"
DalyLizzie,"['hairdresser', 'superpower', 'wicked', 'election', 'results', 'feed', 'room', 'lately', 'lol', 'clean', 'dreams', 'hair', 'wake', 'worst', 'mess', 'super', 'whats', 'alre', 'looking', 'bc', 'literally', 'makes', 'stop', 'attack', 'long', 'live', 'need', 'get', 'want', 'every', 'dont', 'time', 'anxiety', 'like', 'im', 'depressed', 'depression']"
1MyStory1,"['911', 'needs', 'called', 'diagnosed', 'havent', 'feeling', 'still', 'even', 'ive', 'depressed', 'one', 'im']"
secretthoughtxx,"['yiiie', 'potangina', 'talaga', 'ako', 'bipolar']"
kristnkringle,"['cancelled', 'throw', 'minute', 'wait', 'morning', 'start', 'cant', 'work', 'anxiety', 'one', 'depressed', 'im']"
shawnottostyles,"['nearly', 'lost', 'friends', 'anyone', 'talk', 'cant', 'know', 'depression']"
psypharmacopeia,"['elderly', 'acute', 'onset', 'confusion', 'disqualified', 'owning', 'firearm', 'many', 'diagnosis', 'ptsd', 'saying', 'treat', 'uti', 'pts', 'never', 'someone', 'people', 'ap', 'th']"
jpaigenoelle,"['awey', 'lol', 'ready', 'sleep', 'take', 'depression']"
maggiemoooo13,"['queer', 'british', 'bake', 'strangled', 'devious', 'cliffhanger', 'vacation', 'causing', 'watching', 'truly', 'amazing', 'book', 'video', 'said', 'severe', 'ocd', 'anything', 'great', 'end', 'stress', 'im', 'anxiety']"
SpookGato,"['loud', 'working', 'within', 'system', 'kind', 'saying', 'best', 'makes', 'hes', 'man', 'depressed']"
cordeliamoor_,"['selfharms', 'intense', 'strikes', 'incapable', 'detailing', 'wording', 'bloggerloveshare', 'theclqrt', 'leaves', 'delightful', 'cara', 'excellent', 'letter', 'nowhere', 'basically', 'breathe', 'wrote', 'check', 'parent', 'story', 'post', 'anything', 'mentalhealthawareness', 'trying', 'bpd', 'child', 'yes', 'hear', 'love', 'ah', 'life', 'dont', 'day', 'suicide', 'anxiety']"
gerrymill,"['battles', 'choose', 'correct', 'lose', 'cant', 'people', 'suicide']"
nocalspls,"['selfharming', 'ednos', 'wasted', '2017', 'worldmentalhealthday', 'struggled', 'share', 'past', 'teen', 'thread', 'personal', 'tried', 'years', 'something', 'bad', 'last', 'tak', 'want', 'end', 'ive', 'depression']"
Uniformofficer,"['organising', 'partyive', 'known', 'christmas', 'works', 'never', 'stress', 'like']"
nyankamoto,"['crying', 'yeah', 'hey', 'someone', 'stress', 'ok']"
AbstractNotepad,"['aesthetic', 'album', 'drop', 'earl', 'thanks', 'depression']"
na_rmc_,"['belongs', 'glad', 'crazy', 'okay', 'theres', 'understan', 'days', 'makes', 'could', 'still', 'way', 'like', 'ive', 'feel', 'suicidal', 'depressed', 'im']"
kaylaclairecia,"['sake', 'theyll', 'risk', 'glad', 'wellbeing', 'put', 'know', 'people', 'feel', 'like', 'ive', 'th']"
tcboyle,"['daveyou', 'exactly', 'thanks', 'right', 'start', 'therapy']"
daryldixno,"['bohemian', 'rhapsody', 'finnish', 'free', 'abt', 'test', 'talked', 'happy', 'said', 'got', 'today', 'read', 'therapy', 'depression', 'ad']"
alasiasid,"['factors', 'pakistan', 'videos', 'topic', 'seems', 'cope', 'helped', 'funny', 'battl', 'trigger', 'watching', 'lose', 'round', 'many', 'everyone', 'lot', 'people', 'depression']"
Rhys_Smart,"['icymi', 'letstalkblackpink', 'blackpink', 'blink', 'twice', 'exo', 'drivers', 'dive', 'mentallyobsessed', 'platforms', 'anchor', 'imaceleb', 'whaaat', 'chat', 'available', 'someonetotalkto', 'dear', 'onto', 'advert', '800', 'jesus', 'saw', 'main', 'listen', 'currently', 'movie', 'went', 'bts', 'already', 'well', 'done', 'live', 'support', 'getting', 'oh', 'mentalhealth', 'bus', 'today', 'going', 'even', 'anxiety', 'im']"
AnxietySihas,"['worries', 'funny', 'past', 'poor', 'brain', 'everything', 'long', 'cant', 'really', 'work', 'day', 'like', 'anxiety']"
imfknsad,"['fuckes', 'awful', 'cancel', 'wave', 'plans', 'probably', 'therapist', 'extreme', 'bc', 'today', 'gonna', 'hard', 'going', 'hit', 'really', 'anxiety', 'depression', 'im']"
Taskeenkirmani,"['resonating', 'totally', 'agree', 'stress']"
Sparkiestgerm,"['assisted', 'alone', 'sick', 'plan', 'want', 'suicide']"
bri_intencion,"['left', 'behind', 'cos', 'alone', 'honest', 'sad', 'feel', 'suicidal', 'depressed']"
callmejors,"['amidst', 'madness', 'worldmentalhealthday', 'peace', 'death', 'find', 'may', 'anxiety']"
sugaryyoongz,"['ypu', 'rightt', 'comee', 'omg', 'yet', 'bts', 'still']"
DW_Supernatural,"['suffers', 'including', 'daily', 'struggle', 'anyone', 'someone', 'talk', 'depression']"
BBlueBird992,"['udea', 'plp', 'loathingwhy', 'emailed', 'email', 'psychologist', 'psychologis', 'starting', 'crippling', 'gave', 'therapist', 'maybe', 'another', 'never', 'anyone', 'help', 'hes', 'thats', 'think', 'self', 'work', 'even', 'suicidal', 'depressed', 'depression']"
CULCHIEQUEEN,"['significant', 'declarations', 'tepid', 'amount', 'financial', 'happiness', 'wont', 'buy', 'believe', 'money', 'sure', 'got', 'love', 'help', 'take', 'cant', 'abuse', 'stress', 'feel', 'yo']"
Asobele90jr,"['thecharity2018', 'thekickagainstsexualviolence', 'flipped', 'scrip', 'completely', 'guys', 'took', 'worst', 'issues', 'god', 'trauma', 'last', 'life', 'year', 'mental', 'suicidal', 'like', 'depressed']"
Mamadelo_SH,"['hyperfiltered', 'pictures', 'contemplate', 'ineluctable', '17m', 'debt', 'wasa', 'lady', 'success', 'perhaps', 'complain', 'general', 'posted', 'comes', 'stay', 'fight', 'yes', 'broke', 'matter', 'never', 'would', 'still', 'health', 'life', 'mental', 'depressed', 'suicide', 'depression', 'im']"
John___Lemon,"['legit', 'amongst', 'logics', '1800', 'comment', 'words', 'males', 'killing', 'track', 'huge', 'exact', 'especially', 'illness', 'anything', 'around', 'support', 'stigma', 'thats', 'mental', 'dont', 'people', 'still', 'know', 'suicide']"
vl_darling,"['ttrpgs', 'traumatic', 'systems', 'infrastruct', 'tagged', 'wip', 'librarian', 'negotiation', 'kinda', 'crowd', 'latest', 'gentle', 'continue', 'rope', 'male', 'trauma', 'honestly', 'support', 'things']"
MentalStigmas,"['stopthestigma', 'autism', 'overthinking', 'chemicals', 'deepbreaths', 'personally', 'lifted', 'swings', 'area', 'reguarding', 'discussed', 'overload', 'mania', 'mentalhealthmatters', 'triggered', 'triggers', 'healing', 'prison', 'danger', 'energy', 'improve', 'letstalk', 'symbols', 'brings', 'takes', 'highs', 'lows', 'antide', 'worrying', 'veterans', 'apart', 'borderline', 'induced', 'find', 'slightly', 'schizophrenia', 'bipolar', 'mentalhealth', 'mentalhealthawareness', 'escape', 'personality', 'ptsd', 'environment', 'present', 'found', 'longer', 'diagnose', 'anxious', 'meds', 'didnt']"
AnarchaNovaism,"['crust', 'punk', 'stonedly', 'showers', 'newcomers', 'dejected', 'promise', 'eventually', 'mood', 'better', 'lot', 'life', 'really', 'time', 'real', 'get', 'ill', 'anxiety', 'depressed']"
libisumbrae,"['elaborate', 'nihilistic', 'testosterone', 'dignity', 'naturally', 'philos', 'woman', 'fit', 'maybe', 'might', 'cis', 'high', 'something', 'would', 'say', 'ass', 'men', 'like', 'suicide', 'depressed', 'im']"
